,0x,aelf,algorand,aragon,ardor,augur,bancor,basic-attention-token,beam,binancecoin,bitcoin,bitcoin-cash,bitcoin-cash-sv,bitcoin-gold,cardano,celsius-degree-token,chainlink,chiliz,civic,constellation-labs,cortex,cosmos,crypto-com-chain,dai,dash,decentraland,decred,dent,digibyte,dogecoin,elastos,enjincoin,eos,ethereum,ethereum-classic,funfair,gatechain-token,gnosis,golem,harmony,hedera-hashgraph,hive,huobi-token,icon,iexec-rlc,iostoken,iota,iotex,kava,komodo,lisk,litecoin,loom-network,loopring,maker,matic-network,monero,mxc,nano,nem,neo,nervos-network,nexo,numeraire,okb,omisego,ontology,polymath,power-ledger,qtum,ravencoin,reserve-rights-token,ripple,siacoin,solana,status,steem,stellar,storj,stratis,swissborg,syscoin,telcoin,tezos,theta-token,tron,vechain,waves,wax,wazirx,zcash
count,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0,731.0
mean,0.6646248527695847,0.23702431292279147,0.7491885133054422,4.010270904104545,0.15168624846397413,17.683342993209656,2.5062968870004423,0.5264477552259873,0.46734850842091075,218.79496783962048,29001.36302300571,377.0824070086297,146.02321182694416,29.588928554470996,0.7987912387281932,2.994692704056348,16.191058267900377,0.16136990888502228,0.21215411039243007,0.0812704127839725,0.16496172262630251,14.094619479166758,0.18015779799986106,0.8632711499588391,120.65141912885109,0.8708517555124252,68.14081597640187,0.0024461450931737377,0.03488402478707135,0.10491803092366962,2.841514219931889,1.018968873821172,3.1299806040026312,1657.3447729695504,23.768125393758094,0.012661543414643026,2.61965283400818,158.99072379412812,0.2526692490658608,0.07976873779993357,0.15089258221210164,0.46422755625590323,7.866164045348068,0.875265642603889,1.940039250068764,0.02192310531286712,0.7016169138876011,0.03735337382579589,3.0895301466173866,0.7960210352954862,2.121891908374744,110.89169182686187,0.060769108683359954,0.496386996717089,1571.1648284113712,0.6752330437685833,156.4961901079529,0.02912984791082799,2.891343552173147,0.14653235253036634,26.70834201661422,0.010518667224992293,1.2268284997298216,30.064362068749123,11.985940807890968,4.449623776934366,0.6962192833404157,0.24553624483553915,0.2377861617174321,5.950682916336355,0.059713027452648317,0.025379752581583925,0.5455161208835091,0.009961208286733,48.38509751619953,0.05709536000043269,0.33400036632706065,0.20873187082448055,0.7888329923608074,1.0349032903983577,0.421348310497122,0.2359795428244989,0.007634814323053351,3.176401028623599,3.3353754647226572,0.048958573733141324,0.054927554470925795,10.878386043352418,0.16320877179846693,0.6506553388322072,99.71229577770694
std,0.37472878010011407,0.16389705980115712,0.47591992395407356,2.133670132553431,0.10176008156182254,6.705059626448409,1.7011404106777628,0.3257624749692341,0.24791679554726415,184.2099634997563,15534.966960379257,176.16736826730036,43.13604482520624,22.948049008361878,0.6661830219040583,1.9243431487066518,8.281025680716192,0.1523100370026024,0.1612193635962185,0.08230963971888842,0.09086111481378194,10.361167597680247,0.14450991732962165,0.03053887382465362,59.193454861925495,1.0574336580149235,51.19972411145011,0.0027328929247152143,0.022300880274876804,0.10873461397751574,1.6592732444544138,0.8803007224089557,1.2393243010814698,1223.580812854159,20.194546078345894,0.009849103737215472,2.2582092980242017,127.12427662691887,0.16945183059614147,0.08316735336231904,0.1107185165173273,0.40182947405274916,4.536945941671996,0.5862132327650877,1.349505789285596,0.016867656626678742,0.4578186915122978,0.03981954145095286,1.6185469803517445,0.5298613600104074,1.2176557867731033,58.24487537124972,0.04031656752990765,0.5781053271280128,1015.8244872874496,0.6965864480449543,72.63849392311391,0.023511243454522792,2.0863382247587037,0.10307125085154546,17.412193112928858,0.006882945145648244,0.936267476947135,9.974170883926764,7.383641332438359,2.9256403577258383,0.3204444786507744,0.21023963922355984,0.16901581592269985,4.276307249172082,0.04764142662303956,0.01870303896037104,0.3221097186395291,0.007910066720614329,60.73337633234795,0.03641537007739837,0.20149894298985263,0.12193284043324353,0.5782962971621441,0.6297105104955213,0.3104071732560271,0.2418142402464695,0.008596062330178567,1.2216035049945602,2.9038867319176176,0.02909271604224763,0.04591812569920484,8.900289743990815,0.1538451293183545,0.6484663150618387,48.65390764662608
min,0.147817422803917,0.0549108158620077,0.1546101525633527,0.7146885136599517,0.0297183775358934,8.779983088506746,0.1612670742168764,0.1421487677002954,0.1796990155442619,12.544069131700615,6080.236353989298,177.72040213065648,68.94605736768237,5.8990071075060575,0.0292160196834216,0.0681313971350925,2.8719065695456414,0.0057427708222078,0.0166185942612614,0.0053776215909038,0.057460464850839,2.070812602881224,0.0441785100044283,0.8123152977728365,54.54768538843201,0.0241540082929332,9.543911119928596,0.0001013259798339,0.0045453259474777,0.0017844530586845,0.9925252538199048,0.0798013828239104,1.7490846899175547,140.52957520704751,4.122569243225362,0.001469877653933,0.3458270261180196,11.48140177283732,0.0321315896444768,0.00192497695825,0.0242707355235238,0.0895206263676067,2.9817509815333243,0.2027946487059523,0.258863009797754,0.0027950403441829,0.1361475389754296,0.0021110808044199,0.4089129584807871,0.3539830372929021,0.8435522339031358,36.04005842341365,0.012240291391055,0.0241437162639582,260.22071386958413,0.0104369470885112,48.606287947750914,0.0036230602515411,0.4826820149875842,0.0324377957687555,6.41492759993483,0.0023745035413471,0.0883276201558111,15.150737844966836,3.560675411694733,0.4827717013440419,0.3367392031340966,0.016487466874899,0.0505217571271814,1.1886660830311764,0.0095065997369496,0.0021745218088815,0.1559101470391797,0.0011332306741845,0.4754820181538517,0.0144937598439589,0.1148683099074655,0.0426015768544996,0.0821710424097041,0.2439825625417906,0.014599407010329,0.0167858368768675,9.876316122997086e-05,1.5000435657850255,0.0685931324596034,0.0111697735767455,0.0032985717554142,0.8662130150650189,0.0251015324306789,0.0533631660612224,32.23830046282739
25%,0.3398449993426831,0.08936046414497975,0.2757148545075987,2.73043225738472,0.050918037915663,12.784891209868611,1.0428400221821896,0.20821573168303864,0.29775040320258916,23.558070953492795,9973.048305966788,227.51279294104796,124.77242255183242,8.234313436360885,0.1055679696458415,1.0742922453851937,10.046647769243926,0.0107445202227334,0.028624473564012952,0.00938640815306865,0.0907356620608337,4.314926594026334,0.08758491508765251,0.8406514784915688,72.51698678808941,0.06674229953514535,14.169239501493088,0.00018853412938205002,0.018969188989083348,0.00270625079392645,1.5076295838805183,0.15075494177721965,2.269688337731102,332.19189165277805,5.623651714645915,0.0033598490777442,0.4460054084078874,42.34352137030349,0.08566074518474634,0.0046178906728528,0.03572725144974845,0.18444714555378555,3.833569513062784,0.3442596467866103,0.8222527633139283,0.0050624912686676,0.23964222809486574,0.0062351469282404,1.6552031828571003,0.48370269730764404,1.0908210602612147,48.8694224453164,0.021279803772311347,0.14925189922268262,466.4749817291194,0.01793577403242275,95.34062175014961,0.010314400865732851,0.8731866139897226,0.08946858169614574,14.258456362711692,0.0042026817359376994,0.17239338259315118,22.618329725196904,4.802958039872596,2.689094521808782,0.47882541600781436,0.04395643323234425,0.08244438188370881,2.0392340076513347,0.0172541319211689,0.0117994785810285,0.21449783207645234,0.00276021735829515,1.747706354048939,0.0252074357888251,0.1680434379919823,0.0822592038324111,0.2886571751111111,0.4292155946496701,0.0935818405651529,0.051400694677725,0.0002256822694719,2.298574924595729,0.5221847903844807,0.0224548169155548,0.0132310384362066,2.7245033261252507,0.035998666574075244,0.11005007913303055,54.448192025740184
50%,0.5651134817863784,0.201022916290096,0.7246684160646905,3.8898335691195753,0.1496020146522935,15.723154631864103,2.3296368501530966,0.5104845017678934,0.3922097851763221,248.2139047043994,32235.555753607303,342.2712632187513,142.41127775194295,26.89496536330625,0.9237781515323084,3.342148731650466,15.363934455730083,0.177929318821421,0.2258400292970497,0.0409630548931199,0.1435250981744297,11.238378015313188,0.1295789325844171,0.8573862947993519,103.83473784830404,0.551559937265308,56.71952590527015,0.0020411028107233,0.0259689880456137,0.0627148372974477,2.455257662245263,1.0481212118560932,2.6237503312113306,1633.6936257897578,16.36430713900155,0.0102579476764165,2.317391800460051,133.3831947476841,0.2643792180340635,0.0617049636011121,0.1629427962031061,0.3038168106154415,7.976683055008722,0.6907240483134255,1.6793493506161483,0.0208324322778459,0.6941120957040726,0.0189599484457338,3.156239928548368,0.5922802050948459,1.8778201679769613,113.01240991124534,0.0589324400004588,0.306310935946973,1782.397889446067,0.3222784517465905,163.39246889224071,0.0226884362687012,2.648749340926344,0.116556012765583,21.11501108712097,0.009728563817474,1.3889238319818564,27.661441637800277,11.22226074880579,3.828231546142725,0.593432917624328,0.1977598670780648,0.1867657887317918,5.324126137934928,0.0505516686429193,0.0205899059092922,0.5193413030832337,0.0089621755399261,21.04649819700093,0.0525333434770009,0.299240053770243,0.2103682670708381,0.7335515414143228,0.9760885365189508,0.4757190115595422,0.1280903662921397,0.0053959438802037,2.79056678550746,2.867222140433351,0.0502135829234006,0.0472619936257913,9.05915858273734,0.112262804644166,0.5203641771359362,94.80311696942144
75%,0.8807665579674985,0.3382249929404531,1.0819087895694106,4.794211050719986,0.22796983051045672,21.09194871093689,3.4727116349180918,0.7444783965527515,0.575751211910465,372.8852409174949,41420.16228799369,491.9650368585236,164.85620363707838,45.60318492737858,1.1941915271998806,4.67367262037714,22.612384131355476,0.26870682070023666,0.3344510349040217,0.15403108928686965,0.2130306528720416,23.746591416884865,0.18465986991847405,0.8851443066931348,161.18200415916357,1.0743942559771131,110.41746853894423,0.0035152042338343,0.045941874295996096,0.19013252378482295,3.601299965860181,1.6182501460844114,3.778541915321753,2702.4608983767225,41.996260639566394,0.0177518499381771,4.753806565599762,253.49077237009845,0.4058470639977363,0.1355251725024586,0.2366997931535848,0.6785049821903619,9.570127222749178,1.2902621191818846,2.77038402319292,0.0354936152707429,1.0630827995281562,0.06261731198101955,4.373935924414047,0.8963451176403782,2.865692870883761,149.83102901687704,0.08766841196798564,0.5381150779606014,2215.6774735706967,1.3145187875744049,209.83960739186446,0.0394172682401733,4.519941284568519,0.1735800433889182,36.85028541571149,0.014305147092272,1.9710701081678463,35.885438308657626,17.87983708382533,5.3826509534959746,0.8322194538321693,0.4119249198662678,0.3549686216907064,8.793101642624611,0.094934599853852,0.0331016737108958,0.7690435889597499,0.01489314521833365,85.77037204547761,0.07760754254074435,0.44860859211216486,0.29843610810659754,1.1680996466798417,1.4639695957148682,0.6059599055937008,0.3330542670118162,0.0143170496551422,3.8183729224323892,5.551160583186911,0.07109888244817256,0.08440584018625855,15.861208882148954,0.2555833891741336,1.0323266967823925,128.75617326029945
max,1.9387777342757395,0.8593147463664548,2.017118520247118,11.789590234394504,0.4444230056743184,48.086745413776754,7.774581818118345,1.5492808469409425,1.5527472289086364,572.1424211519699,58358.42045735038,1273.838307000737,363.1957328370697,115.73000351238818,2.497737520822179,6.604009062020428,42.58261664713793,0.6281121542779179,0.7763733664290388,0.3824484764832291,0.8052294829234273,38.14648402802744,0.7928958018657634,0.9465868596042336,366.3103497029631,4.638321777319298,204.5495303366304,0.0163811783657459,0.1308390879195081,0.560575419836745,11.141790017994955,3.977430720490187,11.710467077847325,4155.613824674977,113.03652849990269,0.0445383288319927,9.462865408894434,504.3784775894114,0.7164989832034909,0.3112983931185095,0.4304705746849993,2.537396366505425,28.97692492163352,2.5921139678151603,10.642814836735624,0.0692822088155313,2.107298336498325,0.2099697713317744,7.368821432801582,3.8997109417514473,7.728755490522561,315.9081046404453,0.2153472587032499,3.043645562795418,5031.377734556227,2.544833754786742,393.9263678893532,0.1081388718488421,12.285650716681827,0.6591751959418432,101.49236891799744,0.0354203292391523,3.2543245952944218,74.65018982638672,34.57305786449154,16.259174456096005,2.207660446328598,0.8039719947973926,0.7110518880446405,22.27946578143287,0.1957435351723611,0.0923899413487991,1.53350624632945,0.0465746907777083,224.42057473404532,0.2289021202346009,1.1843236439354932,0.5989840621029722,2.735204349098462,3.1395397817096278,1.2746524269566757,1.076027472060487,0.0497060123258415,7.367399351440972,11.767357182619763,0.1388403932141345,0.2166882252374579,49.30136517746529,0.8393093425485525,3.450420896069861,263.92435762460354
