,alpha,P_alpha,beta,P_beta
0x,0.44458737350485994,3.005e-05,0.8851972302850829,1.463e-19
aelf,1.1140113428050622,0.001644,0.5593110089280984,0.002585
algorand,0.3670755316622497,0.002488,0.9516681643293542,8.719e-109
aragon,0.23685300900192346,0.01683,0.9389910986445031,0.0
ardor,0.20823710270981408,0.0107,0.9906555111930349,0.0
augur,0.3173994819195705,0.001733,0.9912115362002708,0.0
bancor,0.4629513100573873,0.001257,0.9790758959423713,0.0
basic-attention-token,0.38699940175053255,0.001927,0.9519937596156195,7.503e-108
binancecoin,0.2768791779285728,0.0006087,0.9834543304442075,0.0
bitcoin-cash,0.39451611836473766,0.0006053,0.9900974957188936,0.0
bitcoin-cash-sv,0.2506811040250463,0.01385,0.7515469524006542,0.0001531
bitcoin-gold,0.5569271631476335,0.002385,0.9898600368630285,0.0
cardano,0.2667558719151826,0.005746,0.9264914601336376,9.031999999999999e-59
celsius-degree-token,0.29194520168282306,0.01282,0.9517676540558833,0.0
chiliz,0.4981572000170138,0.002173,0.9546520941754497,8.825e-51
civic,1.3936772103556596,0.001076,0.5820998858257698,0.002394
cortex,0.5693253481223005,4.481e-05,0.9154410027859337,2.046e-156
cosmos,0.2609521440698691,0.001528,0.9550947994679755,1.989e-202
dai,0.26572512040171,0.0,0.9931045784658599,0.0
decentraland,0.618275517001495,5.106e-10,0.6224728945581408,1.536e-09
decred,0.22825948766417284,0.003435,0.9696929191129745,0.0
dent,0.3679196393751327,0.01451,0.9379323141021578,7.615e-83
dogecoin,2.2276615863373306,0.0,0.9419211399126048,0.0
elastos,0.3614701668015529,0.007952,0.9713320881757607,0.0
enjincoin,0.17489469413530187,0.0268,0.9816812349816106,0.0
eos,0.4477455370016597,6.054e-05,0.9866985655919966,0.0
ethereum-classic,0.3808567050471581,6.304e-07,0.9962313109810234,0.0
funfair,0.2724252568974233,0.001939,0.6956521263078967,2.116e-21
gatechain-token,0.6075348642662476,0.01373,0.9733562267773244,0.0
gnosis,0.32446191391895574,0.000477,0.7455272972232312,3.816e-05
harmony,0.38078186696841637,0.00789,0.990753609258087,0.0
hive,0.5638293148408604,2.06e-05,0.9755317911804385,0.0
huobi-token,0.42972669197315677,0.009653,0.9735631884219287,2.8359999999999996e-94
iostoken,0.29036894369728006,0.00217,0.9275176361127022,3.45e-19
iotex,0.6191178641449948,7.315e-05,0.9662279632582523,1.061e-202
komodo,0.20483384640059923,0.01616,0.9899468193437685,0.0
lisk,0.3139824347957612,0.0001299,0.9653653792900702,7.688e-107
litecoin,0.24139706674971356,0.03869,0.9754628371511886,0.0
loom-network,0.3730308824146514,0.001902,0.9900272521331129,0.0
loopring,0.264818663722007,0.03174,0.8326047779902371,6.431e-74
monero,0.22767673525711804,0.009696,0.9769238795128299,0.0
mxc,0.5228737736540546,0.01751,0.7563049688327685,2.374e-16
nano,0.8292170831398974,0.02733,0.4306842089316129,0.007304
nem,0.32890423245809736,0.0007032,0.9817947120057782,0.0
neo,0.2377987819926469,0.0002215,0.97752063269565,5.611e-286
nervos-network,0.26825865422703105,0.02843,0.9888870880504399,0.0
nexo,0.2962805601294087,0.02378,0.9320213283016312,3.118e-250
okb,0.47422407210369066,1.942e-07,0.7555991102024233,2.641e-08
omisego,0.3538181352241778,0.00721,0.9166037379470553,1.054e-153
ontology,0.2691326840993213,0.003144,0.9827401948479628,0.0
polymath,0.28963212334802396,0.008951,0.9303609904362418,0.03187
qtum,0.28109369151704855,0.002301,0.9879188475814968,0.0
ravencoin,0.3253287818306387,0.0007742,0.9842224100602451,0.0
reserve-rights-token,0.23026958449654877,0.01288,0.9803354760975269,0.0
ripple,0.8765645209245496,0.00704,0.9177121627435324,1.854e-13
siacoin,0.2958329128334726,0.00243,0.8292834119602208,0.0368
solana,0.2795168603540207,0.02989,0.9279647807364699,1.746e-10
status,0.3047522074855643,0.002345,0.990305278316809,0.0
steem,0.27317299690449925,0.002056,0.9647070821638606,2.5659999999999996e-227
stellar,0.5633151679677214,1.404e-05,0.5996925727979231,1.714e-08
stratis,0.4297296198806605,0.000266,0.9775225317060402,0.0
swissborg,0.4961934746260105,0.009951,0.822196430956651,6.080000000000001e-35
telcoin,0.27642007407698704,0.02527,0.8539329874357872,3.308e-79
tezos,0.321384266202737,0.0007654,0.9467723246974441,5.201e-87
theta-token,0.20546553787765331,0.01882,0.9279980636119579,2.129e-117
vechain,0.2375762284654535,0.002901,0.9834809090559342,0.0
waves,0.4513029292378366,0.003983,0.9827480598652396,0.0
zcash,0.2558314529751187,0.01346,0.6972551519450251,3.189e-14
